name,rating,downloads,reviews,age
googlepay,4.4star,10M+,197K reviews,Rated for 3+
whatsapp,4.2star,500M+,8.92M reviews,Rated for 3+
phonepe,4.4star,10M+,326K reviews,Rated for 3+
drbindra,4.1star,1M+,59.2K reviews,Rated for 3+
amazonpay,4.3star,5M+,23.6K reviews,Rated for 3+
indianoil,4.3star,500K+,15.8K reviews,Rated for 3+
udemy,4.4star,1M+,10.2K reviews,Rated for 3+
shoekonnect,4.1star,1M+,11.5K reviews,Rated for 3+
Online Business Ideas,4.0star,100K+,682 reviews,Rated for 3+
paypay,4.0star,10M+,74K reviews,Rated for 3+
anar,4.5star,500K+,4.14K reviews,Rated for 3+
sulekha,3.3star,500K+,24.6K reviews,Rated for 3+
shopify,3.0star,5M+,22.8K reviews,Rated for 3+
facebook,4.5star,100M+,2.55M reviews,Rated for 3+
paytm,4.2star,10M+,395K reviews,Rated for 3+
vyapar,4.6star,5M+,86.3K reviews,Rated for 3+
monopoly,3.7star,1M+,26.2K reviews,Rated for 3+
mailchimp,4.2star,1M+,18.8K reviews,Rated for 3+
indianmart,4.7star,10M+,505K reviews,Rated for 3+
skype,4.1star,10M+,169K reviews,Rated for 3+
ghoshak,4.0star,50K+,149 reviews,Rated for 3+
norbsoft,4.4star,5M+,94.1K reviews,Rated for 3+
digitaldukan,4.3star,5M+,210K reviews,Rated for 3+
frshbooks,4.0star,500K+,4.33K reviews,Rated for 3+
linkedin,4.3star,1B+,2.42M reviews,Rated for 12+
ajio,3.5star,1M+,4.35K reviews,Rated for 3+
jdbusiness,3.9star,5K+,19 reviews,Rated for 3+
segb,4.2star,1M+,18.8K reviews,Rated for 3+
rcmbusiness,4.4star,1M+,60.4K reviews,Rated for 3+
amazonbusiness,4.7star,100K+,580 reviews,Rated for 3+
